"","syote","n","vastine","vastine2","vastine3","puuttuu","loytyva","loytyva2"
"39","suunnittelija",74,NA,NA,NA,TRUE,"Arkkitehdit, suunnittelijat ja maanmittaajat Arkkitehdit, suunnittelijat ja maanmittaajat Tuote- ja vaatesuunnittelijat Tuote- ja vaatesuunnittelijat Yhdyskunta- ja liikennesuunnittelijat Yhdyskunta- ja liikennesuunnittelijat Graafiset ja multimediasuunnittelijat Graafiset ja multimediasuunnittelijat Henkilöstöhallinnon erityisasiantuntijat ja urasuunnittelijat Henkilöstöhallinnon erityisasiantuntijat ja urasuunnittelijat Henkilöstöhallinnon erityisasiantuntijat ja urasuunnittelijat Sovellussuunnittelijat Tietokantasuunnittelijat ja -vastaavat Sosiaalialan suunnittelijat ym. Sisustussuunnittelijat ym. Sisustussuunnittelijat ym. Sisustussuunnittelijat ym. Sisustussuunnittelijat ym.","Kuvataiteilijat, taideteollisen alan suunnittelijat ym.|Taideteollisen alan suunnittelijat ja taiteilijat|Kuvataiteilijat, taideteollisen alan suunnittelijat ym.|Graafiset suunnittelijat|Muut opettajat ja koulutussuunnittelijat|Muut opettajat ja koulutussuunnittelijat|Koulutuspäälliköt, -suunnittelijat ja kouluttajat|Muut opettajat ja koulutussuunnittelijat|Koulutuspäälliköt, -suunnittelijat ja kouluttajat|Muut opettajat ja koulutussuunnittelijat|Muut opettajat ja koulutussuunnittelijat|Koulutuspäälliköt, -suunnittelijat ja kouluttajat|Henkilöstösuunnittelijat ym.|Muut opettajat ja koulutussuunnittelijat|Koulutuspäälliköt, -suunnittelijat ja kouluttajat|Henkilöstösuunnittelijat ym.|Tietotekniikan suunnittelijat ja ohjelmoijat|Tietotekniikan suunnittelijat ja ohjelmoijat|Tietotekniikan suunnittelijat ja ohjelmoijat|Tietotekniikan suunnittelijat ja ohjelmoijat|Tietotekniikan suunnittelijat ja ohjelmoijat|Tietotekniikan suunnittelijat ja ohjelmoijat|Tietotekniikan suunnittelijat ja ohjelmoijat|Sosiaalialan suunnittelijat|Kuvataiteilijat, taideteollisen alan suunnittelijat ym.|Graafiset suunnittelijat|Taideteollisen alan suunnittelijat ja taiteilijat|Kuvataiteilijat, taideteollisen alan suunnittelijat ym.|Taideteollisen alan suunnittelijat ja taiteilijat|Henkilöstösuunnittelijat ym.|Kuvataiteilijat, taideteollisen alan suunnittelijat ym.|Taideteollisen alan suunnittelijat ja taiteilijat"
"40","kotiavustaja",73,NA,NA,NA,TRUE,"","Kodinhoitajat ja kotiavustajat"
"41","kuntoutusohjaaja",73,NA,NA,NA,TRUE,"",""
"42","laskentasihteeri",69,NA,NA,NA,TRUE,"",""
"43","aineenopettaja",66,NA,NA,NA,TRUE,"Aineenopettajat (peruskoulun alaluokat) Aineenopettajat (peruskoulun alaluokat) Aineenopettajat (peruskoulun alaluokat) Aineenopettajat (peruskoulun alaluokat)","Aineenopettajat ja lehtorit|Aineenopettajat ja lehtorit|Aineenopettajat ja lehtorit|Aineenopettajat ja lehtorit|Aineenopettajat ja lehtorit"
"44","palvelupäällikkö",66,NA,NA,NA,TRUE,"",""
"45","erityisavustaja",65,NA,NA,NA,TRUE,"",""
"46","koulukuraattori",65,NA,NA,NA,TRUE,"",""
"47","erikoissairaanhoitaja",62,NA,NA,NA,TRUE,"",""
"48","ryhmäavustaja",62,NA,NA,NA,TRUE,"",""
"49","päällikkö",60,NA,NA,NA,TRUE,"","Päällikkötoimittajat"
"50","erityislastentarhanopettaja",59,NA,NA,NA,TRUE,"",""
"51","luokanopettaja rehtori",55,NA,NA,NA,TRUE,"",""
"52","työnjohtaja",55,NA,NA,NA,TRUE,"Työnjohtajat kaivos-, teollisuus- ja rakennustoiminnassa Työnjohtajat kaivos-, teollisuus- ja rakennustoiminnassa Työnjohtajat kaivos-, teollisuus- ja rakennustoiminnassa Kaivostyönjohtajat Teollisuuden työnjohtajat Teollisuuden työnjohtajat Teollisuuden työnjohtajat Teollisuuden työnjohtajat Teollisuuden työnjohtajat Teollisuuden työnjohtajat Rakennusalan työnjohtajat Rakennusalan työnjohtajat Rakennusalan työnjohtajat Rakennusalan työnjohtajat Rakennusalan työnjohtajat Peltoviljelytyönjohtajat ja -työntekijät Puutarha- ja kasvihuonetyönjohtajat ja - työntekijät Puutarha- ja kasvihuonetyönjohtajat ja - työntekijät Kalanviljelytyönjohtajat ja -työntekijät","Siivoustyönjohtajat|Peltoviljelytyönjohtajat ja -työntekijät|Puutarha- ja kasvihuonetyönjohtajat|Kalanviljelytyönjohtajat ja -työntekijät|Kalanviljelytyönjohtajat ja -työntekijät"
"53","laitosmies",54,NA,NA,NA,TRUE,"",""
"54","kielen lehtori",53,NA,NA,NA,TRUE,"",""
"55","ylipalomies",53,NA,NA,NA,TRUE,"",""
"56","järjestelmäasiantuntija",52,NA,NA,NA,TRUE,"",""
"57","palomestari",52,NA,NA,NA,TRUE,"",""
"58","huoltomies",51,NA,NA,NA,TRUE,"",""
"59","etuuskäsittelijä",49,NA,NA,NA,TRUE,"",""
"60","osastosihteeri",49,NA,NA,NA,TRUE,"Johdon sihteerit ja osastosihteerit Johdon sihteerit ja osastosihteerit Johdon sihteerit ja osastosihteerit","Johdon sihteerit, osastosihteerit ym.|Johdon sihteerit, osastosihteerit ym."
"61","kirjanpitäjä",46,NA,NA,NA,TRUE,"","Kirjanpitäjät ym.|Kirjanpitäjät ym.|Kirjanpitäjät ym."
"62","rakennustarkastaja",45,NA,NA,NA,TRUE,"",""
"63","aineiden lehtori",42,NA,NA,NA,TRUE,"",""
"64","mielisairaanhoitaja",42,NA,NA,NA,TRUE,"",""
"65","liikunnanohjaaja",41,NA,NA,NA,TRUE,"Urheilijat, urheiluvalmentajat, liikunnanohjaajat ym. Urheilijat, urheiluvalmentajat, liikunnanohjaajat ym.","Urheilijat, urheiluvalmentajat, liikunnanohjaajat ym.|Urheilijat, urheiluvalmentajat, liikunnanohjaajat ym.|Urheilijat, urheiluvalmentajat, liikunnanohjaajat ym.|Urheilu- ja liikunnanohjaajat"
"66","lääkintävahtimestari",39,NA,NA,NA,TRUE,"","Lääkintävahtimestari-sairaankuljettajat"
"67","projektipäällikkö",39,NA,NA,NA,TRUE,"",""
"68","siistijä",38,NA,NA,NA,TRUE,"",""
"69","suunnitteluinsinööri",38,NA,NA,NA,TRUE,"",""
"70","vanhempi lehtori",38,NA,NA,NA,TRUE,"",""
"71","koulunkäyntiohjaaja",37,NA,NA,NA,TRUE,"",""
"72","lähihoitaja lastenhoitaja",37,NA,NA,NA,TRUE,"",""
"73","palvelu",37,NA,NA,NA,TRUE,"Tuotantotoiminnan ja yhteiskunnan peruspalvelujen johtajat Tuotantotoiminnan ja yhteiskunnan peruspalvelujen johtajat Tuotantotoiminnan ja yhteiskunnan peruspalvelujen johtajat Yhteiskunnan peruspalvelujen sekä rahoitus- ja vakuutuspalvelujen johtajat Yhteiskunnan peruspalvelujen sekä rahoitus- ja vakuutuspalvelujen johtajat Yhteiskunnan peruspalvelujen sekä rahoitus- ja vakuutuspalvelujen johtajat Yhteiskunnan peruspalvelujen sekä rahoitus- ja vakuutuspalvelujen johtajat Rahoitus- ja vakuutuspalvelujen johtajat Rahoitus- ja vakuutuspalvelujen johtajat Rahoitus- ja vakuutuspalvelujen johtajat Rahoitus- ja vakuutuspalvelujen johtajat Muut yhteiskunnan palvelujen johtajat Muut yhteiskunnan palvelujen johtajat Muut yhteiskunnan palvelujen johtajat Muut yhteiskunnan palvelujen johtajat Hotelli- ja ravintola-alan, vähittäiskaupan ja muiden palvelualojen johtajat Hotelli- ja ravintola-alan, vähittäiskaupan ja muiden palvelualojen johtajat Hotelli- ja ravintola-alan, vähittäiskaupan ja muiden palvelualojen johtajat Muiden palvelualojen johtajat Muiden palvelualojen johtajat Muiden palvelualojen johtajat Muut palvelualojen johtajat Muut palvelualojen johtajat Muut palvelualojen johtajat Muut palvelualojen johtajat Muut palvelualojen johtajat Vakuutusalan palvelumyyjät Vakuutusalan palvelumyyjät Yrityspalveluiden välittäjät Yrityspalveluiden välittäjät Yrityspalveluiden välittäjät Toimisto- ja asiakaspalvelutyöntekijät Toimisto- ja asiakaspalvelutyöntekijät Toimisto- ja asiakaspalvelutyöntekijät Toimisto- ja asiakaspalvelutyöntekijät Asiakaspalvelutyöntekijät Asiakaspalvelutyöntekijät Rahaliikenteen asiakaspalvelutyöntekijät Muut asiakaspalvelutyöntekijät Muut asiakaspalvelutyöntekijät Muut asiakaspalvelutyöntekijät Puhelinpalveluneuvojat Puhelinpalveluneuvojat Muualla luokittelemattomat asiakaspalvelutyöntekijät Muualla luokittelemattomat asiakaspalvelutyöntekijät Muut muualla luokittelemattomat asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut muualla luokittelemattomat toimisto- ja asiakaspalvelutyöntekijät Muut muualla luokittelemattomat toimisto- ja asiakaspalvelutyöntekijät Muut muualla luokittelemattomat toimisto- ja asiakaspalvelutyöntekijät Muut muualla luokittelemattomat toimisto- ja asiakaspalvelutyöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelutyöntekijät Palvelutyöntekijät Palvelutyöntekijät Palvelutyöntekijät Palvelutyöntekijät Palvelutyöntekijät Matkustuspalvelutyöntekijät, konduktöörit ja oppaat Muut henkilökohtaisen palvelun työntekijät Muut henkilökohtaisen palvelun työntekijät Muut henkilökohtaisen palvelun työntekijät Muut henkilökohtaisen palvelun työntekijät Hautauspalvelutyöntekijät Muualla luokittelemattomat henkilökohtaisen palvelun työntekijät Puhelin- ja asiakaspalvelukeskusten myyjät Hoivapalvelun ja terveydenhuollon työntekijät Hoivapalvelun ja terveydenhuollon työntekijät Kodinhoitajat (kotipalvelutoiminta) Kotityöpalvelutyöntekijät","Yrityspalvelu- ym. yritysten johtajat|Yrityspalvelutoiminnan pienyritysten johtajat|Liikealan ja muiden palvelualojen asiantuntijat|Yrityspalvelu- ym. yritysten johtajat|Liikealan ja muiden palvelualojen asiantuntijat|Yrityspalvelutoiminnan pienyritysten johtajat|Liikealan ja muiden palvelualojen asiantuntijat|Liike-elämän palvelujen välittäjät|Liikealan ja muiden palvelualojen asiantuntijat|Toimisto- ja asiakaspalvelutyöntekijät|Palvelu-, myynti- ja hoitotyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Palvelu- ja suojelutyöntekijät ym.|Henkilökohtaisen palvelun työntekijät|Liikealan ja muiden palvelualojen asiantuntijat|Asiakaspalvelutyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Rahaliikenteen asiakaspalvelutyöntekijät|Liike-elämän palvelujen välittäjät|Liike-elämän palvelujen välittäjät|Muut liike-elämän palvelujen välittäjät|Muut asiakaspalvelutyöntekijät|Liikealan ja muiden palvelualojen asiantuntijat|Palvelu- ja suojelutyöntekijät ym.|Toimisto- ja asiakaspalvelutyöntekijät|Liikealan ja muiden palvelualojen asiantuntijat|Liikealan ja muiden palvelualojen asiantuntijat|Asiakaspalvelutyöntekijät|Rahaliikenteen asiakaspalvelutyöntekijät|Muut asiakaspalvelutyöntekijät|Liikealan ja muiden palvelualojen asiantuntijat|Liikealan ja muiden palvelualojen asiantuntijat|Toimisto- ja asiakaspalvelutyöntekijät|Palvelu-, myynti- ja hoitotyöntekijät|Asiakaspalvelutyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Muut palvelutyöntekijät|Matkustuspalvelutyöntekijät|Henkilökohtaisen palvelun työntekijät|Muut asiakaspalvelutyöntekijät|Henkilökohtaisen palvelun työntekijät|Muut henkilökohtaisen palvelun työntekijät|Henkilökohtaisen palvelun työntekijät|Muut henkilökohtaisen palvelun työntekijät|Hautauspalvelutyöntekijät|Muut henkilökohtaisen palvelun työntekijät|Liikealan ja muiden palvelualojen asiantuntijat|Asiakaspalvelutyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Muut palvelutyöntekijät|Rahaliikenteen asiakaspalvelutyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Henkilökohtaisen palvelun työntekijät|Palvelu- ja suojelutyöntekijät ym.|Muut palvelutyöntekijät|Muut palvelutyöntekijät|Toimisto- ja asiakaspalvelutyöntekijät|Palvelu-, myynti- ja hoitotyöntekijät|Asiakaspalvelutyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Muut palvelutyöntekijät|Muut asiakaspalvelutyöntekijät|Henkilökohtaisen palvelun työntekijät|Muut henkilökohtaisen palvelun työntekijät|Palvelu- ja suojelutyöntekijät ym.|Muut palvelutyöntekijät|Muut palvelutyöntekijät|Muut palvelutyöntekijät"
"74","apulaisrehtori",36,NA,NA,NA,TRUE,"",""
"75","lektor",36,NA,NA,NA,TRUE,"",""
"76","paloesimies",36,NA,NA,NA,TRUE,"",""
"77","perheohjaaja",36,NA,NA,NA,TRUE,"",""
"78","tilahuoltaja",36,NA,NA,NA,TRUE,"",""
"79","taloussihteeri",35,NA,NA,NA,TRUE,"",""
"80","työfysioterapeutti",33,NA,NA,NA,TRUE,"",""
"81","apulaisylilääkäri",32,NA,NA,NA,TRUE,"",""
"82","lääketyöntekijä",32,NA,NA,NA,TRUE,"Apteekkien lääketyöntekijät","Apteekkien lääketyöntekijät ym.|Apteekkien lääketyöntekijät ym.|Apteekkien lääketyöntekijät"
"83","nuorisotyöntekijä",32,NA,NA,NA,TRUE,"",""
"84","toimistovirkailija",32,NA,NA,NA,TRUE,"Matkatoimistovirkailijat Matkatoimistovirkailijat","Matkatoimistovirkailijat"
"85","asiakaspalvelusihteeri",31,NA,NA,NA,TRUE,"",""
"86","suunnitteluavustaja",31,NA,NA,NA,TRUE,"",""
"87","työnohjaaja",31,NA,NA,NA,TRUE,"",""
"88","atk-suunnittelija",30,NA,NA,NA,TRUE,"",""
"89","hallintopäällikkö",28,NA,NA,NA,TRUE,"",""
"90","kolmiperhehoitaja",28,NA,NA,NA,TRUE,"",""
"91","koordinaattori",28,NA,NA,NA,TRUE,"",""
"92","maaseutuasiamies",28,NA,NA,NA,TRUE,"",""
"93","talouspäällikkö",28,NA,NA,NA,TRUE,"",""
"94","ympäristötarkastaja",28,NA,NA,NA,TRUE,"",""
"95","atk-tukihenkilö",26,NA,NA,NA,TRUE,"",""
"96","kunnaneläinlääkäri",26,NA,NA,NA,TRUE,"",""
"97","rehtori luokanopettaja",26,NA,NA,NA,TRUE,"",""
"98","käyttöpäällikkö",25,NA,NA,NA,TRUE,"",""
"99","sähköasentaja",25,NA,NA,NA,TRUE,"Rakennustyöntekijät ym. (pl. sähköasentajat) Rakennustyöntekijät ym. (pl. sähköasentajat) Rakennussähköasentajat Rakennussähköasentajat Muut sähköasentajat Muut sähköasentajat","Rakennussähköasentajat|Rakennussähköasentajat"
"100","asiakasneuvoja",24,NA,NA,NA,TRUE,"Informaatiopisteen asiakasneuvojat",""
"101","koulupsykologi",24,NA,NA,NA,TRUE,"",""
"102","palomies-sairaankuljettaja",24,NA,NA,NA,TRUE,"",""
"103","sovellusasiantuntija",24,NA,NA,NA,TRUE,"",""
"104","vanhustyöntekijä",24,NA,NA,NA,TRUE,"",""
